ሇቑ	U+1207 U+1251	
ለኸ	U+1208 U+12B8	ዝተሓላለኸን	ሃገርለኸ	ዓለምለኸን	ዝተሓላለኸ	ንዓለምለኸ	ብዓለምለኸ	ለኸ	ዓለምለኸ
ለኽ	U+1208 U+12BD	ለኽዐካ	መለኽቲ
ሊኸ	U+120A U+12B8	
ሊኹ	U+120A U+12B9	እንተደሊኹም
ሊኺ	U+120A U+12BA	
ሊኻ	U+120A U+12BB	ፈላሊኻ
ሊኽ	U+120A U+12BD	
ሊኾ	U+120A U+12BE	
ሊቑ	U+120A U+1251	
ሊቚ	U+120A U+125A	
ሌኸ	U+120C U+12B8	
ሌኹ	U+120C U+12B9	
ሌኺ	U+120C U+12BA	
ሌኻ	U+120C U+12BB	
ሌኽ	U+120C U+12BD	
ሌኾ	U+120C U+12BE	
ልኸ	U+120D U+12B8	ዓለምልኸ
ልኹ	U+120D U+12B9	ባዕልኹም
ልኺ	U+120D U+12BA	ተኸልኺልና
ልኻ	U+120D U+12BB	ንምክልኻሉ	ብምክልኻል	ንምክልኻልን	ንምኽልኻል	ምኽልኻል	ምክልኻልን	ንምክልኻል	ምክልኻል
ልኽ	U+120D U+12BD	ህልኽ	ዝኽልኽል
ልኾ	U+120D U+12BE	ኣምልኾ
ሒኸ	U+1212 U+12B8	
ሒኹ	U+1212 U+12B9	ልሒኹ
ሒኺ	U+1212 U+12BA	
ሒኻ	U+1212 U+12BB	
ሒኽ	U+1212 U+12BD	
ሒኾ	U+1212 U+12BE	
ራኽ	U+122B U+12BD	ዘራኽቡ	መራኽብን	መራኽባ	ዘራኽብ	መራኽብ
ሲኹ	U+1232 U+12B9	ተወሲኹ	ወሲኹ
ቚኹ	U+125A U+12B9	
ትኹ	U+1275 U+12B9	ትኹል	ብትኹረት	ትኹረትና	ትኹረቶም	ትኹረቱ	ትኹን	ትኹረት
ኡኸ	U+12A1 U+12B8	
ኡኻ	U+12A1 U+12BB	ንልኡኻት	ልኡኻት
ኡኽ	U+12A1 U+12BD	ንልኡኽ	ልኡኽ
ኢኸ	U+12A2 U+12B8	ልኢኸን
ኢኹ	U+12A2 U+12B9	ተላኢኹ	ልኢኹ	ኢኹም
ኢኽ	U+12A2 U+12BD	
ኢኾ	U+12A2 U+12BE	ተላኢኾም
ኣኸ	U+12A3 U+12B8	ዝለኣኸት	ዝተላኣኸት	ንዝለኣኸቶ	ኣኸባብራ	ከምዝለኣኸ	ዝተላኣኸ	ዝላኣኸልና	ኣኸባ	ዝለኣኸቶ
ኣኹ	U+12A3 U+12B9	ንክልኣኹ	ኣይራኣኹን	ክልኣኹ	ምልኣኹ	ዝተልኣኹ	ዝላኣኹ
ኣኺ	U+12A3 U+12BA	ኣኺልዋ	ኣኺሉ
ኣኻ	U+12A3 U+12BB	ዘተኣኻኸቡ	ተኣኻኺቦም	ምልኣኻ	መተኣኻኸቢ	ዝተኣኻኸቡ
ኣኽ	U+12A3 U+12BD	ዝኣኽለና	ዝለኣኽዎ	ይልኣኽ	ተላኣኣኽቲ	ኣኽኢሉዋ	ኣኽቢሮምዎ	ኣኽሊሉ	ኣኽብሮት	ይኣኽለና	ክልኣኽ	ኣኽቢራ	ተለኣኣኽቲ	ዝልኣኽ	ኣኽራርነትን	ኣኽቢሩ	ዝላኣኽ	ኣኽሱምን	ዝላኣኽዎ	ኣኽራርነት	ብምልኣኽ	ምልኣኽ	ኣኽቢሮም	ኣኽበርቲ	ንምልኣኽ	ኣኽሱም	ኣኽረርቲ	ኣኽራሪ
ኣኾ	U+12A3 U+12BE	ንዝላኣኾ	ኣብዝለኣኾ	ዝለኣኾም	ዝልኣኾ	ዝለኣኾ	ዝላኣኾ
እኽ	U+12A5 U+12BD	ንምትእኽኻብን	ብምትእኽካብ	መለእኽቲ	መልእኽቶምን	መልእኽትና	ከምዝልእኽ	ዝልእኽ	ይልእኽ	ክንልእኽ	ከምትልእኽ	ብምትእኽኻብ	ክልእኽ	ዝልእኽዎ	ልእኽቲ	ልእኽቶ	ትልእኽ	እኽልን	ክትልእኽ	ይእኽል	መልእኽትን	ማእኽል	መልእኽቱ	ምትእኽካብ	መልእኽታት	ንምትእኽኻብ	መልእኽትታት	ምትእኽኻብ	መልእኽቶም	እኽሊ	መልእኽቲ
ኩኹ	U+12A9 U+12B9	
ኹደ	U+12B9 U+12F0	
ኹኢ	U+12B9 U+12A2	
ኹኣ	U+12B9 U+12A3	
ኺት	U+12BA U+1275	ድርኹኺት
ኾኢ	U+12BE U+12A2	
ዉኻ	U+12C9 U+12BB	
ዚኸ	U+12DA U+12B8	
ጨቒ	U+1328 U+1252	
ꬂኹ	U+AB02 U+12B9	
ꬒኸ	U+AB12 U+12B8	
